seq,first,last,age,street,city,state,zip,dollar,pick,date
1,Wesley,Munoz,54,Buve Terrace,Nomsabhud,TN,25647,$3362.67,YELLOW,06/10/2009
2,Winifred,Wong,52,Udji Glen,Cunefa,NE,66070,$5280.28,YELLOW,04/26/1977
3,Charles,Graves,45,Inupi Parkway,Milinu,RI,24787,$2998.40,RED,12/25/1956
4,Adam,Pena,20,Futdet Avenue,Gipzaro,NE,41708,$1830.97,YELLOW,12/22/1963
5,Lawrence,Gibson,60,Ifovot Lane,Moiznah,OH,30564,$482.93,RED,03/25/1980
6,Larry,Oliver,34,Pacti Circle,Mewina,GA,76080,$4115.90,RED,04/17/1968
7,Edith,Carlson,23,Muco Square,Gocubno,NM,28173,$5180.92,YELLOW,04/27/1927
8,Genevieve,Swanson,55,Voke Manor,Pilucsev,MI,86678,$2998.53,WHITE,05/26/1997
9,Jeffrey,Rivera,64,Domo Mill,Tettusus,MA,20185,$2573.16,BLUE,02/18/1993
10,Shawn,Terry,39,Cepej Court,Gigware,WA,87601,$9711.57,BLUE,08/31/2000
11,Gordon,Roberts,20,Zewrad Pass,Zirejzu,DE,38090,$4678.21,WHITE,08/05/1943
12,Terry,Hogan,60,Pahig Extension,Tohkaim,OR,97439,$3565.98,YELLOW,07/04/2013
13,Aaron,Bell,45,Ofice Pike,Uhmomij,MT,35326,$5046.60,RED,01/21/1990
14,Mathilda,Tucker,24,Junpeb River,Unohuuw,OH,96271,$6080.44,GREEN,06/02/1957
15,Louisa,Stokes,62,Gowfe Road,Nikowji,MD,54993,$772.45,RED,12/05/2025
16,Mattie,Watson,59,Decsel Lane,Ovoreel,KS,31636,$4151.06,BLUE,05/10/1998
17,Anne,Banks,24,Ilnev River,Pifgefil,IA,79790,$4476.48,WHITE,11/24/1946
18,Jeffery,King,46,Ifogum Road,Uzisewros,UT,19651,$5835.55,WHITE,01/27/1947
19,Mary,Tucker,27,Retda Park,Umzowdip,GA,79878,$6481.12,RED,06/16/2032
20,Franklin,Thompson,28,Mijgog Center,Ukanagru,NY,13019,$8676.27,WHITE,12/25/2027
21,Lilly,Welch,36,Wisato Mill,Kozahip,ND,50214,$7778.75,BLUE,11/15/1914
22,Jim,Jimenez,39,Pajnaz Square,Pousge,SC,32393,$1747.01,BLUE,01/28/1979
23,Helen,Olson,41,Awuap Highway,Bacojwuz,DC,39511,$406.30,WHITE,01/29/1902
24,Rosetta,Barnes,58,Olobo Place,Kotiwji,UT,05226,$4048.96,YELLOW,05/19/2051
25,Gilbert,Fernandez,25,Face Road,Seosowut,CT,24005,$4029.55,YELLOW,09/03/1913
26,Pearl,Ramirez,65,Safa Path,Dilcatili,LA,40653,$5508.18,GREEN,07/31/1955
27,Sara,Robbins,34,Huffah Way,Accomo,SD,09948,$5031.72,BLUE,10/04/2034
28,Charles,Robbins,19,Gazim Terrace,Pushijca,IA,10183,$1330.80,WHITE,11/20/1939
